"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
12,2,9.09100008010864,4.54550004005432,2,0,0,0.520460206880863,2,3590.90899991989,1795.45449995995,0,1,1,0.690449007842896,1022,5
1,3,51.6770002841949,9.00099992752075,3,0,0,0.487264261632495,3,3548.32299971581,1008.16099977493,1,1,1,0.499126102783267,1026,5
2,1,34.9090001583099,34.9090001583099,1,0,0,1,1,3565.09099984169,3565.09099984169,0,0,1,1,1026,5
1,3,1431.23000001907,21.9570000171661,2,1,0,0.950219760139001,3,2168.76999998093,556.817000150681,1,2,0,0.460988765634694,1029,4
2,4,3268.30199956894,129.145999908447,3,0,1,0.845330464182195,3,331.698000431061,50.6410002708435,3,0,0,0.632208173312347,1029,4
3,3,561.787999868393,136.09700012207,2,1,0,0.534045546113045,3,3038.21200013161,77.9119999408722,2,0,1,0.909857006767025,1029,3
4,4,1920.03200006485,15.5590000152588,3,0,1,0.960337320216373,3,1679.96799993515,188.177000045776,2,1,0,0.791263300663259,1029,1
5,13,431.613000392914,6.27499985694885,13,0,0,0.222562797745825,13,3168.38699960709,177.259000062943,9,4,0,0.169082076149361,1029,4
6,3,131.524999856949,7.44599986076355,3,0,0,0.82044093628916,3,3468.47500014305,828.794000148773,1,1,1,0.626620417421996,1029,2
7,5,879.09500002861,67.4159998893738,4,1,0,0.555018501196779,5,2720.90499997139,410.90900015831,2,3,0,0.324915051871252,1029,3
8,4,727.368000268936,176.091500043869,2,2,0,0.485598722003594,3,2872.63199973106,1063.10899972916,1,1,1,0.530594937610442,1029,2
9,9,2096.59899973869,9.15399980545044,7,2,0,0.498401064941414,9,1503.40100026131,43.9970002174377,6,3,0,0.233532039719236,1029,1
10,3,2668.76300001144,269.898000240326,2,0,1,0.815701070535813,2,931.236999988556,465.618499994278,1,1,0,0.764812589239551,1029,1
1,2,14.1150000095367,7.05750000476837,2,0,0,0.638729924512212,1,3585.88499999046,3585.88499999046,0,0,1,1,1030,3
2,1,2.91299986839294,2.91299986839294,1,0,0,1,1,3597.08700013161,3597.08700013161,0,0,1,1,1030,4
3,6,88.1620004177094,5.92750000953674,6,0,0,0.331429427034201,6,3511.83799958229,382.225499868393,3,3,0,0.338837095665084,1030,3
4,3,15.4299998283386,5.87199974060059,3,0,0,0.34673235063654,3,3584.57000017166,394.265000104904,1,1,1,0.800695084364893,1030,4
5,6,204.158999919891,20.8619999885559,6,0,0,0.352692122078178,6,3395.84100008011,500.893999934196,3,3,0,0.25080563622466,1030,4
6,4,300.071000099182,57.4340000152588,4,0,0,0.448787398867507,4,3299.92899990082,316.443499922752,2,1,1,0.625438442218637,1030,5
