"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA","Mean_SWLS"
19845.6045005322,0.09386896531309,97,12.0817500352859,79,9.5,3.5,15.6333333333333,36131.3919994831,0.0282213289619386,97,192.590000152588,53,32,2,1099,5.75,4.75,2.25,5.5,5.6
16880.8489995003,0.132826364556175,25,295.512000083923,12,13,3,14.1833333333333,32662.7725003958,0.0995815326038818,26,500.328000068665,9.5,10,6.5,1103,5.625,3.5,2.5,3.5,2.4
19403.5499997139,0.0890355343533097,51,90.2699999809265,40.5,10,3,16.1666666666667,42291.1579995155,0.0659934666220991,52,257.753999948502,25,18,6,1113,1.5,2,5.25,1.5,1
7204.24149870872,0.0972219951967492,61.5,28.9944999814034,58,5,0.5,18.0333333333333,58022.7170004845,0.15838567174302,65,238.481000185013,35,21,6,1125,3.875,3.5,3.25,4.5,4.4
25919.5019996166,0.0981007438481702,49,128.28200006485,39,12,6,16.5166666666667,35069.1280009747,0.0891903246341539,46,198.129999876022,27,15,5,1126,4.75,4,4.75,5,3.2
23328.1325000525,0.110510122298354,27.5,353.361999988556,14.5,12,3.5,15.8583333333333,33731.4600002766,0.0878031475658134,27,634.567250013351,9.5,10,7,1128,5.375,5.75,2.5,6,5.4
14138.9955000877,0.106796399124551,56.5,48.5842499136925,43.5,9,1,15.525,41427.8019998074,0.0608842245291573,53,334.341750025749,22.5,21,7,1131,4.625,3,3,5,4.6
9059.30849969387,0.112140686578774,43,27.06350004673,36.5,7,0.5,17.3333333333333,54622.5689997673,0.074461146518276,43,573.368499994278,15,19,9,1134,4.25,4.25,4.25,3.5,3.4
9004.11999988556,0.0890463545114526,44,78.9524999856949,35,9,0,21.125,67406.0205003023,0.0752581652450748,44,574.34500014782,16.5,17,11,1151,5.75,6,2,7,4.8
20842.5740001202,0.104385727273968,51,27.2820000648499,40,9,4,17.3416666666667,40819.4330006838,0.0539431206449962,58.5,295.420500040054,28,22,5.5,1155,4.375,3,4.5,3,3.2
9130.8900001049,0.154229545148201,35.5,30.2359999418259,27.5,5,1,16.025,47812.6245002747,0.0760057356821595,36.5,509.650000095367,14.5,11.5,9,1173,5.25,3.75,4.25,4,4
9045.98450005054,0.0418108570169854,88.5,50.2807499170303,80,8,0,16.025,50518.9870004654,0.0311143076112554,89.5,341.789499878883,36.5,40.5,5,1174,6,6,2,5.5,5
21199.8650000095,0.190991758660008,50,33.8579998612404,44,4,4,15.5,35508.7675000429,0.094002917246507,51,187.308499932289,39.5,12.5,5,1176,4.75,4.75,4.75,4.5,6.2
8362.38799965382,0.0846709511926444,46,47.4479999542236,34.5,7.5,0,17.8333333333333,54328.4555006027,0.112721012086579,47,421.413500070572,19,20.5,7,1178,4.375,4.25,5.5,3.5,3.6
12676.6820001602,0.0766178264834107,82.5,25.1374999880791,74.5,7.5,1,19.3333333333333,55753.6150007248,0.103562545298849,81,121.847000002861,51,22,6,1184,5,4,2.75,5,4.2
20588.5799996853,0.0698540660865368,63,47.3910000324249,46,14,3,15.9666666666667,34297.1759998798,0.0416467643159373,64,229.786999940872,33,22,5,1192,6.875,4.25,3,5.5,6.4
17863.3310003281,0.0903769762915242,25,315.055999875069,13,12,2,16.0666666666667,42035.620000124,0.113270545421332,24,976.727500081062,8,7,7,1227,5.625,4.75,3,5,4.4
11069.9769998789,0.133137625952865,106,6.29849994182587,98.5,7.5,2,16.25,49434.9969959259,0.0304660670918132,105,211.403000116348,63,36,4,1231,2,2,6.25,1.5,1.8
17803.0079996586,0.271673298925938,19,334.210000038147,7,7,3,17.25,42628.3689992428,0.11238720467099,20,1455.00050020218,4,7,8,126,5.625,5.25,2.5,5,6
28192.1360001564,0.169428973256583,71,61.5479998588562,59,10,4,17.35,31700.9969995022,0.0449787961622625,72,178.632500052452,41,23,2,1266,5.625,4,4,3,3
17575.4709995985,0.0502369068579322,93,45.4395001530647,79.5,14.5,1,16.25,39090.1450002193,0.0344401709669007,84,168.681000232697,51,31,4,1272,6.5,5,3.75,6,5.8
10970.6675001383,0.0849155585796817,63,14.2094999551773,52.5,10,1,18.4166666666667,53039.6849998236,0.0400703156930205,64,474.131749927998,25.5,30,9,130,6,5.5,2.5,6,5.4
21920.5890002251,0.0769336501579874,118,19.5575001239777,101,14,2,16.1666666666667,36966.8279998302,0.037548165340008,117,88.7234998941422,88,29,3,1301,4.75,3,3,4.5,3.6
18445.2900021076,0.021976791095663,236,25.932000041008,222,12,0,16.8166666666667,53398.7900006771,0.0239079701889488,159,134.09099984169,117,44,5,1308,5.625,3.75,3.75,5.5,4.8
2843.35500001907,0.0837499034274492,25,102.542999744415,23,1,0,16.5166666666667,53506.281000495,0.105646960463941,23,1561.63425004482,5.5,7.5,9,1313,5.375,5.25,3,6.5,5
13586.9420011044,0.0434729154786572,117.5,6.81650006771088,105.5,12,0,18.05,47404.7604973316,0.0206245945270838,118.5,193.992999851704,66.5,46.5,2,1315,1.625,2,5.5,1,1.2
24022.3569996357,0.102576574957849,66.5,67.5309998989105,50.5,13,3.5,16.4166666666667,35197.217000246,0.0559926896789662,67.5,247.472250044346,37,18,5.5,1316,1.25,1,7,1,1
12712.5694997311,0.190755901231257,41,60.4835000038147,36,5,1,15.75,43241.7110011578,0.0705452573966946,40,465.131000041962,17,14,8,132,4.125,3.25,3.5,2.5,3.2
9383.41600060463,0.105906208770533,44,81.8639999628067,37,7,1,17.5,54085.7199988365,0.0752906816290053,45,476.416999995708,22,16,9,1327,5.375,3.25,2.5,6,5
14054.762999773,0.0636255672091587,146,8.33899974822998,135,9,1,15.25,41005.3110005856,0.0382532773326034,147,97.4420000314713,122,23,4,1328,4.625,3.75,4,4,4
10743.4414997101,0.0791400690384478,50,66.8339999914169,44,9,1,17.35,52070.9580011368,0.0530574568824386,50,516.677000045776,20,21,9,1331,5.875,6.5,1.75,6.5,5.6
18172.478998661,0.0497852959334746,115,30.7259998321533,96,14,2,16.6833333333333,42787.521001339,0.044941814407564,108,117.147000074387,79,28,5,1333,5.875,3.25,4.75,3.5,4.2
14017.6739985943,0.0701270942149367,80,31.7570000886917,63,10,1,17.1583333333333,45951.2955006361,0.0389207479367793,75.5,256.96649980545,36,29.5,6,1340,5.375,4.75,3.75,5,6
11985.9950000048,0.0799991964686607,59,32.8462500572205,54.5,8,1,16.875,50940.471999526,0.0617081090676345,47,336.664999961853,24.5,17.5,9.5,1348,3.125,2.75,6.5,4,2
22143.851000309,0.212951694946909,33,58.0970001220703,22,7,3,16.95,36896.148999691,0.0736394387243719,34,531.137500047684,13,15,7,1354,6.625,5.75,2.25,6,5.2
6630.21449947357,0.104386770019053,29.5,57.4750002026558,24.5,5.5,0,16.3,52127.8429996967,0.152530990685467,30,607.236000061035,11,10,8,1356,4,3.25,2.75,3.5,1.8
30305.3719987869,0.293568519395573,20,134.164000034332,11,4,4,17.5083333333333,26110.4815000296,0.365457456683001,23.5,266.489750027657,13,8.5,2,139,3.375,2,5,2.5,1.6
12575.7590010166,0.0548683242843872,116,34.2440001964569,104,11,1,13.375,33355.6319994926,0.0342108658651091,111,150.12249994278,78.5,29,2,141,4.25,4.25,3,5,3.6
26696.7974997759,0.0727291174068349,56.5,74.5844999551773,41.5,13.5,3.5,18.475,44267.2150011063,0.0798238162799274,54.5,293.129750132561,27,19,6.5,149,3.25,2,6,2,1.8
10369.8989999294,0.0952707131415008,64,14.902999997139,53,5,0,16.5,49344.4039993286,0.0370218379563435,65,447.707000255585,24,32,8,152,5.875,4.5,3.25,5,5
17427.5099987984,0.0878117476098043,77,59.6459999084473,72,9,2,16.85,44072.4900012016,0.0373725844805141,78,251.354999780655,42,27,6,153,4.625,3.75,5.25,3.5,2.8
18133.1349992752,0.0648779276379484,107,39.0494998693466,93,12,2,17.5666666666667,43690.7940001488,0.0324356823396368,101,222.161000013351,63,31,5,155,5.25,4.25,3.25,5,5.4
15410.9830011129,0.046418236525426,83,61.8807500600815,63,11.5,0.5,16.5166666666667,43094.0150003433,0.0392605751963098,79,240.710000038147,45,31,5,158,5,6,2,6,6
1937.67499899864,0.198304101657878,22,57.555999994278,17,2,0,16.0333333333333,53299.5029990673,0.19366825862006,11,1614.46150004864,5,3,6,162,6.25,5.5,2.5,6.5,6
