"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA"
18380.6010017395,0.0748537553797273,75,41.0900001525879,71,13,2,16.9833333333333,45601.4649999142,0.0699436440242989,62,183.854000091553,37,19,7,1162,5.5,4.25,4.5,5.5
34320.3980008364,0.100488561447801,82,39.1769999265671,64.5,11.5,5,16.05,26478.0319993496,0.0611455597118916,79,104.974500060081,63,14,3,1166,4,4.25,4.25,4
9962.17300248146,0.0612155875938393,76,34.7779998779297,62,9,0,17.5833333333333,54081.7999999523,0.0413610208226697,75,373.083499908447,31,33,8,1174,5.625,6,2.5,6
9912.35100066662,0.125218266481805,47,18.852499961853,44.5,5,0.5,16.7,53465.1559996605,0.0638695137872367,47,468.603249967098,17.5,18,10.5,1176,5.25,1.5,4.75,2
10492.1860009432,0.0736243677031251,57.5,28.1257501244545,51,8,0,16.8333333333333,52232.5139987469,0.053935181870587,57,443.90649998188,24,26,7,1178,4.75,3,6.25,3
16241.7960000038,0.0947325806370841,67,21.841500043869,53,9,2,19.0583333333333,52312.4634995461,0.113591204923817,65.5,235.447000026703,34.5,22.5,6.5,1184,4.875,3,4,5
7070.55300021172,0.0773694668407739,41,75.8519999980927,35,5,0,15.5,49569.4469997883,0.0928309731180397,36,443.246500134468,15,12,8,1189,3.625,2.5,5,2.5
15487.1425001621,0.0645161784811116,58.5,36.4829998612404,43.5,13.5,0.5,16.7833333333333,46865.2329995632,0.0567844788724221,59,377.153500080109,27,21,7,1192,6,4,3.5,5
7347.57350003719,0.0953265615297675,60,12.2682501077652,54,7,0.5,15.7416666666667,47795.9219999313,0.0562396115026787,58,476.116499960423,22.5,20.5,8,1193,4.5,4.5,4,4
36662.2964993715,0.0979093593880522,26,565.506499946117,5.5,17.5,5.5,17.0166666666667,29095.8840005398,0.127776256651917,27,377.042999982834,13,11,3,1197,3.25,3.5,4.75,5
17329.8095008135,0.0686485198181251,79.5,38.6380000114441,67,13,2.5,15.8916666666667,41246.0925002098,0.0497955496022307,73,176.031999766827,46,23.5,6,1214,5.875,5,3.5,6
11164.6854995489,0.0966062993001802,20.5,631.792250096798,8.5,11,0,16.8166666666667,48532.2439992428,0.108093256805085,20,821.227999687195,6,6,9,1227,5.625,5,2.75,6
9788.95050013065,0.126059264934819,24,180.829999983311,16,6.5,1,16.0833333333333,49480.8829991817,0.0932601784495865,25,1359.22400021553,7,8,8,125,5.125,4.5,3.75,4.5
24175.7239998579,0.126921938802566,25.5,333.234499931335,12,10.5,4,15.5166666666667,34029.9880003929,0.100340778739835,28,602.324000000954,8,9,6,126,6.125,5.75,1.25,6.5
48019.4960002899,0.16178419199992,33.5,181.238499939442,24,6,5,17.8666666666667,19647.4444996119,0.0863833122729431,34.5,239.675749897957,19,13.5,3,1266,4,4.5,3.5,3
17389.5024991035,0.128962315630027,98,28.9835000038147,88,9,1.5,15.8,40335.2135006189,0.0350567390823811,99,180.232499957085,60.5,32.5,3.5,1274,4.125,6.5,2.25,6
3380.37900018692,0.106403670129054,24,76.2720003128052,22,2,0,16.1666666666667,53505.2425000668,0.105483033211601,24.5,1053.48300009966,7,7.5,8.5,1295,5,2,3.25,3.5
8511.83800125122,0.118856203810183,46,12.9344999790192,42,6,0,17.7083333333333,56063.8379992247,0.0490223069405701,53,564.299499869347,15.5,30,9,130,6.25,5.25,1.75,6
23528.826997757,0.0370975550921312,159,17.8780000209808,138,18,2,16,35026.4894980192,0.0395796069606395,146.5,63.0347499251366,119.5,23.5,3,1301,3.625,3.5,3,4
2881.11200010777,0.126026044343721,14,144.422999978065,11,2.5,0,17.4833333333333,58974.3960011005,0.115937749571022,15,3012.35849988461,1,3,11,1302,5.375,2.5,3.75,4.5
23341.2099990845,0.0964148062121808,40,306.843000173569,22,19,3,18.1666666666667,37639.1370000839,0.07370942308208,39,312.857499957085,17,14.5,6.5,1303,4.875,4.75,3.25,5
13486.860499382,0.0330387228216671,148,21.5022500157356,133.5,10.5,0,16.4583333333333,45878.5850006342,0.0236450604278652,149,140.618499994278,103.5,40,3.5,1308,5,5,2.5,6
2617.40499973297,0.15335560211578,15,101.286499857903,12,2,0,16.1833333333333,53606.3009998798,0.166491985772038,15,1132.76150012016,3,6,7,1313,5.375,6.25,4,6
9328.91950023174,0.0759238024424787,83,20.75,68.5,8,0,18,51224.0210001469,0.0349028106691777,85,321.193500041962,39,36,4,1315,1.5,2,6,1
