"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
12,3,144.59299993515,4.92899990081787,3,0,0,0.881832490415124,3,3455.40700006485,719.297000169754,0,2,1,0.493238290134957,1059,5
13,4,1492.0680000782,202.489500045776,2,2,0,0.575758426286859,4,2107.9319999218,454.977000117302,1,3,0,0.333433424599356,1059,5
14,3,31.6569995880127,5.8769998550415,3,0,0,0.49316802473171,2,3568.34300041199,1784.17150020599,0,1,1,0.578269027913271,1059,5
15,3,771.990999937057,5.69700002670288,2,1,0,0.973959869554198,3,2828.00900006294,734.93499994278,0,3,0,0.399899480594493,1059,5
16,8,291.461999893188,7.10399997234344,8,0,0,0.582305593374014,7,3308.53800010681,165.460999965668,5,2,0,0.353757380031095,1059,5
17,5,1445.08999991417,134.682000160217,3,2,0,0.416384694508543,5,2154.91000008583,323.211999893188,2,3,0,0.345047402913732,1059,5
1,6,674.833000183105,86.5429999828339,5,1,0,0.338281784091132,6,2925.16699981689,325.423499941826,3,3,0,0.267901916725245,1060,4
2,6,354.098999977112,12.8474999666214,6,0,0,0.426542577238123,6,3245.90100002289,149.549499869347,5,0,1,0.645084219624079,1060,5
3,10,865.490000486374,30.1115000247955,9,1,0,0.263560998488067,10,2734.50999951363,101.901000022888,6,4,0,0.216739189329798,1060,4
4,8,470.834000587463,13.6100001335144,7,1,0,0.592613308813822,8,3129.16599941254,88.8999998569489,5,3,0,0.384087816951413,1060,6
5,14,573.897000312805,13.5,14,0,0,0.257406311018296,14,3026.10299968719,113.947499990463,10,4,0,0.146328640436488,1060,5
6,8,629.62900018692,11.7315001487732,7,1,0,0.544882826525623,7,2970.37099981308,464.603999853134,3,4,0,0.224243517200854,1060,6
7,3,1892.03600049019,16.6670000553131,2,0,1,0.977102901389969,3,1707.96399950981,230.805999755859,2,1,0,0.687049348223214,1060,3
8,10,397.11599946022,32.1389999389648,10,0,0,0.173322106633862,10,3202.88400053978,203.170000195503,6,4,0,0.200722261115271,1060,4
9,5,2661.50999999046,177.509999990463,3,1,1,0.5616871942983,4,938.490000009537,189.977999925613,3,1,0,0.289375788577176,1060,4
10,17,2410.69499993324,21.6510000228882,15,2,0,0.342005328771528,17,1189.30500006676,39.625,17,0,0,0.137864866480332,1060,3
11,8,348.547999858856,14.3745000362396,8,0,0,0.358011036506246,8,3251.45200014114,487.919499993324,3,5,0,0.169747042368547,1060,5
12,4,173.700000047684,6.75999987125397,4,0,0,0.823959976273331,4,3426.29999995232,910.78049993515,1,3,0,0.317785022364702,1060,5
13,13,440.963000059128,11.4279999732971,13,0,0,0.239305363400535,12,3159.03699994087,170.174499988556,7,5,0,0.134852942110256,1060,3
14,16,1302.25500011444,35.3884997367859,15,1,0,0.229395917099383,16,2297.74499988556,139.738500118256,15,1,0,0.0869118420529827,1060,4
15,14,253.103999376297,4.46850001811981,14,0,0,0.164457770253322,14,3346.8960006237,79.7465000152588,10,4,0,0.23369249774026,1060,6
16,11,485.159000396729,29.7260000705719,11,0,0,0.203519441237696,10,3114.84099960327,283.416999936104,6,4,0,0.147893089890164,1060,4
17,16,921.106999874115,14.9244999885559,15,1,0,0.205363353185426,15,2678.89300012589,70.7070000171661,12,3,0,0.144536155054136,1060,6
18,7,856.103999853134,84.0329999923706,6,1,0,0.368613565278793,6,2743.89600014687,305.705000042915,3,3,0,0.30062815863163,1060,6
19,6,951.680000066757,7.66800010204315,5,1,0,0.724699568854061,6,2648.31999993324,149.264000058174,4,1,1,0.545051556243629,1060,4
1,5,2098.43600034714,412.41100025177,2,3,0,0.380775118371523,5,1501.56399965286,135.174999952316,3,2,0,0.495699271282512,1062,3
2,2,1329.62399983406,664.81199991703,1,1,0,0.844589893252844,2,2270.37600016594,1135.18800008297,0,2,0,0.612013749711973,1062,4
3,2,2420.23099994659,1210.1154999733,1,0,1,0.903478679986501,2,1179.76900005341,589.884500026703,1,1,0,0.926390375109885,1062,5
4,3,24.9799997806549,6.89199995994568,3,0,0,0.558497356024895,3,3575.02000021935,1382.20700001717,0,3,0,0.355150879112661,1062,4
5,1,4.92000007629395,4.92000007629395,1,0,0,1,1,3595.07999992371,3595.07999992371,0,0,1,1,1062,5
6,2,644.285000324249,322.142500162125,1,1,0,0.550315698008152,2,2955.71499967575,1477.85749983788,1,0,1,0.926571798794337,1062,3
7,1,10.9010000228882,10.9010000228882,1,0,0,1,1,3589.09899997711,3589.09899997711,0,0,1,1,1062,4
8,7,1009.05999994278,82.5449998378754,6,1,0,0.450437435003711,7,2590.94000005722,358.179999828339,3,4,0,0.210477912668898,1062,4
9,4,1942.61699986458,351.259999990463,2,2,0,0.463403784124127,3,1657.38300013542,561.576999902725,1,2,0,0.512374507270961,1062,5
10,3,1619.84399962425,189.061999797821,2,1,0,0.769978838362914,3,1980.15600037575,97.574000120163,2,1,0,0.823830977877314,1062,5
11,5,2603.91599965096,98.9089999198914,3,2,0,0.457769864407627,4,996.084000349045,226.965999960899,2,2,0,0.400554496420484,1062,4
12,3,1940.35299992561,500.02599978447,1,2,0,0.612115255578513,3,1659.64700007439,87.2909998893738,2,1,0,0.85486200029584,1062,5
